OTUID,Phylum,Class,Order,Family,Genus,Species
otu000232,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales,Caldicellulosiruptor,Caldicellulosiruptor_lactoaceticus
otu000233,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Camelimonas,Camelimonas_lactis
otu000234,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_avium
otu000235,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_faecalis
otu000236,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_gracilis
otu000237,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
otu000238,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_jejuni
otu000239,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_subantarcticus
otu000240,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_upsaliensis
otu000241,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_ureolyticus
otu000242,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_gingivalis
otu000243,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_leadbetteri
otu000244,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_sputigena
otu000245,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium_hominis
otu000246,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium_sp.
otu000247,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium_valvarum
otu000248,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,Castellaniella_sp.
otu000249,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium_mitsuokai
otu000250,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella,Catonella_morbi
otu000251,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_fusiformis
otu000252,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum_ruminicola
otu000253,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio_fulvus
otu000254,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio_gandavensis
otu000255,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,Centipeda_periodontii
otu000256,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium_somerae
otu000257,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella_minuta
otu000258,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_gleum
otu000259,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_haifense
otu000260,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_hungaricum
otu000261,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_braakii
otu000262,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_freundii
otu000263,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_gillenii
otu000264,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_koseri
otu000265,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_murliniae
otu000266,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_sp.
otu000267,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_youngae
otu000268,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus_evryensis
otu000269,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus_porcorum
otu000270,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,Cloacibacterium_normanense
otu000271,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_aldenense
otu000272,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_aminophilum
otu000273,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_aurantibutyricum
otu000274,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_bartlettii
otu000275,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_bifermentans
otu000276,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_bolteae
otu000277,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_butyricum
otu000278,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_celatum
otu000279,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_chartatabidum
otu000280,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_chromiireducens
otu000281,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_citroniae
otu000282,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_collagenovorans
otu000283,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_difficile
otu000284,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_disporicum
otu000285,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_fallax
otu000286,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_glycyrrhizinilyticum
otu000287,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_hathewayi
otu000288,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_hiranonis
otu000289,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_indolis
otu000290,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_innocuum
otu000291,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_intestinale
otu000292,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_lactatifermentans
otu000293,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_lavalense
otu000294,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_leptum
otu000295,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_litorale
otu000296,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_lituseburense
otu000297,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_maritimum
otu000298,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_neonatale
otu000299,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_nexile
otu000300,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_paraputrificum
otu000301,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_perfringens
otu000302,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_ramosum
otu000303,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_rectum
otu000304,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_saccharogumia
otu000305,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sartagoforme
otu000306,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_scindens
otu000307,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_septicum
otu000308,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sordellii
otu000309,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sp.
otu000310,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_spiroforme
otu000311,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sporosphaeroides
otu000312,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_tertium
otu000313,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_vincentii
otu000314,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas_arenae
otu000315,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas_sp.
otu000316,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_aerofaciens
otu000317,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_intestinalis
otu000318,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_stercoris
otu000319,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia_aestuarii
otu000320,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_aquatica
otu000321,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_kerstersii
otu000322,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_sp.
otu000323,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_terrae
otu000324,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Coprobacillus_cateniformis
otu000325,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_catus
otu000326,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_comes
otu000327,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_eutactus
otu000328,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_sp.
otu000329,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter,Coprothermobacter_proteolyticus
otu000330,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_accolens
otu000331,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_amycolatum
otu000332,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_appendicis
otu000333,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_aquatimens
otu000334,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_argentoratense
otu000335,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_coyleae
otu000336,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_durum
otu000337,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_glaucum
otu000338,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_glucuronolyticum
otu000339,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_imitans
otu000340,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_jeikeium
otu000341,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_lipophiloflavum
otu000342,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_mastitidis
otu000343,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_matruchotii
otu000344,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_propinquum
otu000345,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_pseudodiphtheriticum
otu000346,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_sp.
otu000347,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_testudinoris
otu000348,Actinobacteria,Actinomycetales,Corynebacterineae,Corynebacteriaceae,Corynebacterium,Corynebacterium_tuberculostearicum
otu000349,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter_dublinensis
otu000350,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter_malonaticus
otu000351,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter_sakazakii
otu000352,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter_turicensis
otu000353,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter_universalis
otu000354,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Daeguia,Daeguia_caeni
otu000355,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_caeni
otu000356,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_ficus
otu000357,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_geothermalis
otu000358,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_reticulitermitis
otu000359,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_sp.
otu000360,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter_hominis
otu000361,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,Desulfotignum_toluenicum
otu000362,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_D168
otu000363,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_desulfuricans
otu000364,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_legallii
otu000365,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_oxamicus
otu000366,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_piger
otu000367,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_sp.
otu000368,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_vulgaris
otu000369,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia_albogilva
otu000370,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia_insulae
otu000371,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_invisus
otu000372,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_pneumosintes
otu000373,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_propionicifaciens
otu000374,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_succinatiphilus
otu000375,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,Dielma_fastidiosa
otu000376,Actinobacteria,Actinomycetales,Corynebacterineae,Dietziaceae,Dietzia,Dietzia_aerolata
otu000377,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Dolosigranulum_pigrum
otu000378,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_Dorea
otu000379,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_formicigenerans
otu000380,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_longicatena
otu000381,Proteobacteria,Gammaproteobacteria,Lysobacteriales,Rhodanobacteraceae,Dyella,Dyella_ginsengisoli
otu000382,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,Dysgonomonas_capnocytophagoides
otu000383,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta
otu000384,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Eggerthia,Eggerthia_catenaformis
otu000385,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter,Empedobacter_brevis
otu000386,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,Enorma_massiliensis
otu000387,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer_adhaerens
otu000388,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_aerogenes
otu000389,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_cancerogenus
otu000390,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_cloacae
otu000391,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_helveticus
otu000392,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_hormaechei
otu000393,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_kobei
otu000394,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_ludwigii
otu000395,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_massiliensis
otu000396,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_mori
otu000397,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_oryzendophyticus
otu000398,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_pulveris
otu000399,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_sacchari
otu000400,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_siamensis
otu000401,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_soli
otu000402,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_sp.
otu000403,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter_turicensis
otu000404,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_avium
otu000405,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_cecorum
otu000406,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_durans
otu000407,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
otu000408,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium
otu000409,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_lactis
otu000410,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_malodoratus
otu000411,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_sp.
otu000412,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_viikkiensis
otu000413,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_rhapontici
otu000414,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_sp.
otu000415,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythromicrobium,Erythromicrobium_ramosum
otu000416,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_albertii
otu000417,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_coli
otu000418,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_sp.
otu000419,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_vulneris
otu000420,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_coli/dysenteriae
otu000421,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_biforme
otu000422,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_brachy
otu000423,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_callanderi
otu000424,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_coprostanoligenes
otu000425,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_dolichum
otu000426,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_eligens
otu000427,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_hadrum
otu000428,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_hallii
otu000429,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_pyruvativorans
otu000430,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_ramulus
otu000431,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_rectale
otu000432,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_ruminantium
otu000433,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_saphenum
otu000434,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_siraeum
otu000435,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_sp.
otu000436,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_sulci
otu000437,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_tarantellae
otu000438,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_tenue
otu000439,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_ventriosum
otu000440,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_xylanophilum
otu000441,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_hominis
otu000442,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_ignava
otu000443,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_languida
otu000444,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
otu000445,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Filifactor_alocis
otu000446,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia_magna
otu000447,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,Flavisolibacter_sp.
otu000448,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_segetis
otu000449,Firmicutes,Clostridia,Clostridiales,Clostridiales,Flavonifractor,Flavonifractor_plautii
otu000450,Proteobacteria,Gammaproteobacteria,Lysobacteriales,Rhodanobacteraceae,Frateuria,Frateuria_sp.
otu000451,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Fretibacterium_fastidiosum
otu000452,Firmicutes,Clostridia,Clostridiales,Clostridiales,Fusibacter,Fusibacter_paucivorans
otu000453,Firmicutes,Clostridia,Clostridiales,Clostridiales,Fusibacter,Fusibacter_sp.
otu000454,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_equinum
otu000455,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_gonidiaformans
otu000456,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_mortiferum
otu000457,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_necrogenes
otu000458,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_periodonticum
otu000459,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_russii
otu000460,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_sp.
otu000461,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_ulcerans
otu000462,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_varium
otu000463,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium_anatis
otu000464,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella_vaginalis
otu000465,Firmicutes,Bacill,Bacillales,Bacillales,Gemella,Gemella_morbillorum
otu000466,Firmicutes,Bacill,Bacillales,Bacillales,Gemella,Gemella_palaticanis
otu000467,Firmicutes,Bacill,Bacillales,Bacillales,Gemella,Gemella_sanguinis
otu000468,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Gemmiger,Gemmiger_formicilis
otu000469,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_lituanicus
otu000470,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_sp.
